Instance_number,time,lread,lwrite,scall,sread,swrite,Cluster
1520,0:21:30,0,0,147,9,15,cluster0
1521,11:27:17,3,2,1505,93,86,cluster1
1522,13:52:50,9,1,1239,95,73,cluster0
1523,21:47:28,0,0,3705,218,177,cluster3
1524,0:18:30,0,0,138,9,13,cluster0
1525,16:43:15,121,92,2108,256,194,cluster4
1526,15:46:45,5,2,1825,126,191,cluster1
1527,14:52:42,4,2,3824,267,239,cluster3
1528,19:46:10,0,0,1558,96,86,cluster1
1529,14:18:31,31,18,2963,429,210,cluster3
1530,17:17:37,17,3,4065,443,301,cluster3
1531,18:01:03,101,2,5227,208,110,cluster2
1532,13:36:00,34,51,1790,216,191,cluster1
1533,1:31:11,2,1,234,36,15,cluster0
1534,12:54:29,12,0,6188,624,408,cluster2
1535,12:52:19,1,0,7657,253,208,cluster2
1536,21:34:57,3,0,1049,361,58,cluster0
1537,15:23:23,0,0,1334,123,107,cluster0
1538,16:28:25,9,0,2683,382,164,cluster1
1539,17:46:03,74,95,4446,465,324,cluster4
1540,23:05:59,1,1,1107,47,26,cluster0
1541,18:21:34,6,4,704,53,55,cluster0
1542,13:14:15,21,14,4043,483,428,cluster3
1543,1:19:21,23,32,217,16,38,cluster0
1544,15:05:58,3,2,712,73,58,cluster0
1545,13:15:50,1,0,2795,189,102,cluster1
1546,12:50:44,4,1,2605,114,59,cluster1
1547,21:34:27,6,0,2901,391,235,cluster3
1548,14:59:08,3,2,2268,501,240,cluster1
1549,12:39:24,55,44,1523,214,133,cluster1
1550,20:19:21,35,34,331,58,48,cluster0
1551,16:22:40,7,4,3722,160,135,cluster3
1552,15:26:03,2,0,1859,113,110,cluster1
1553,16:28:11,5,3,931,86,86,cluster0
1554,22:56:14,1,1,1096,78,29,cluster0
1555,0:24:35,1,1,224,27,22,cluster0
1556,13:28:05,10,7,939,91,83,cluster0
1557,23:52:05,7,1,554,73,19,cluster0
1558,19:27:05,1,0,2596,211,195,cluster1
1559,11:40:17,5,4,1506,166,98,cluster1
1560,20:32:41,1,0,1395,123,60,cluster0
1561,15:38:09,3,1,4426,576,403,cluster3
1562,15:05:53,7,2,2105,154,83,cluster1
1563,18:31:14,2,0,1343,194,65,cluster0
1564,14:59:54,6,5,2936,175,120,cluster1
1565,14:32:37,65,60,2391,156,100,cluster1
1566,16:08:15,40,57,2460,76,66,cluster1
1567,14:28:46,18,15,7119,288,232,cluster2
1568,0:38:51,1,1,195,20,20,cluster0
1569,18:42:04,18,27,2223,139,73,cluster1
1570,11:15:06,0,0,1181,67,66,cluster0
1571,21:06:27,3,1,1670,70,64,cluster1
1572,14:53:58,0,0,3918,405,245,cluster3
1573,15:15:04,12,7,2366,160,110,cluster1
1574,16:29:20,3,0,3953,340,251,cluster3
1575,19:38:45,1,0,442,84,49,cluster0
1576,22:27:44,3,0,548,63,39,cluster0
1577,15:51:49,5,4,1145,177,82,cluster0
1578,15:12:54,26,8,6214,156,118,cluster2
1579,20:13:01,1,0,538,95,48,cluster0
1580,15:44:54,33,46,2709,158,99,cluster1
1581,13:24:05,12,1,3007,356,300,cluster3
1582,19:15:35,1,0,2699,88,157,cluster1
1583,23:12:14,1,1,295,34,34,cluster0
1584,15:53:59,12,5,3132,204,169,cluster3
1585,22:36:49,18,17,541,157,72,cluster0
1586,12:01:48,20,13,4257,403,298,cluster3
1587,14:29:56,34,17,5783,194,164,cluster2
1588,16:10:10,2,2,1360,106,77,cluster0
1589,15:23:33,1,1,2068,199,138,cluster1
1590,12:02:53,3,1,2058,162,105,cluster1
1591,14:37:42,1,0,5744,168,190,cluster2
1592,20:13:36,2,1,420,93,30,cluster0
1593,23:13:04,3,0,551,77,29,cluster0
1594,23:22:19,7,2,1561,84,56,cluster1
1595,0:49:56,0,0,235,21,26,cluster0
1596,14:36:32,5,0,4896,168,120,cluster3
1597,1:00:06,21,29,421,24,17,cluster0
1598,22:44:59,123,58,668,228,199,cluster0
1599,15:59:59,6,5,3402,106,99,cluster3
1600,20:58:46,0,0,219,25,23,cluster0
1601,17:20:47,11,5,2822,165,92,cluster1
1602,14:53:38,4,3,4571,441,362,cluster3
1603,12:42:49,8,0,1646,162,129,cluster1
1604,0:42:36,17,22,254,24,44,cluster0
1605,15:12:19,2,0,2521,212,118,cluster1
1606,19:44:10,14,1,5004,650,545,cluster2
1607,13:30:25,6,1,1390,78,95,cluster0
1608,16:46:40,9,6,1538,145,100,cluster1
1609,20:16:06,7,6,439,156,63,cluster0
1610,12:24:53,2,0,3099,180,116,cluster3
1611,16:08:05,8,6,1309,136,112,cluster0
1612,17:54:58,1,0,1274,150,91,cluster0
1613,13:17:10,13,11,1872,141,66,cluster1
1614,18:55:39,0,0,1292,88,70,cluster0
1615,13:35:15,19,11,1667,116,87,cluster1
1616,16:19:15,2,0,1318,108,95,cluster0
1617,11:25:12,3,1,3614,233,180,cluster3
1618,14:48:22,3,0,3320,294,227,cluster3
1619,15:58:09,5,3,3786,167,149,cluster3
1620,13:06:09,3,0,1193,145,152,cluster0
1621,16:41:56,43,60,3084,261,155,cluster4
1622,16:31:50,24,17,2002,197,142,cluster1
1623,14:25:36,97,126,3958,138,103,cluster4
1624,17:06:47,14,3,3990,409,213,cluster3
1625,15:51:44,40,9,1113,135,87,cluster0
1626,15:40:24,131,104,3404,382,217,cluster4
1627,1:21:21,1,1,218,15,36,cluster0
1628,18:40:44,2,1,1121,47,59,cluster0
1629,12:18:53,44,7,3759,368,214,cluster3
1630,17:06:07,7,2,2183,162,110,cluster1
1631,14:39:53,22,8,6591,176,98,cluster2
1632,0:55:41,0,0,303,93,46,cluster0
1633,12:50:04,3,1,4798,335,171,cluster3
1634,12:12:23,24,2,2721,295,245,cluster1
1635,22:53:44,5,1,1645,56,38,cluster1
1636,19:01:20,173,189,643,156,69,cluster4
1637,16:22:55,13,9,1555,165,96,cluster1
1638,14:48:47,6,1,4146,248,164,cluster3
1639,14:39:22,43,2,5035,290,141,cluster3
1640,23:36:55,2,1,611,38,25,cluster0
1641,21:06:37,0,0,784,56,31,cluster0
1642,0:28:01,41,36,3265,527,470,cluster3
1643,14:53:02,3,2,4108,316,219,cluster3
1644,13:23:25,0,0,1745,229,97,cluster1
1645,1:26:56,17,25,186,22,22,cluster0
1646,23:28:55,17,2,867,72,67,cluster0
1647,22:35:49,2,1,450,82,45,cluster0
1648,23:04:54,1,1,444,18,31,cluster0
1649,22:58:44,17,25,189,20,17,cluster0
1650,13:31:55,37,53,1209,83,81,cluster0
1651,11:36:32,7,1,1691,99,105,cluster1
1652,13:54:35,63,8,2788,309,214,cluster1
1653,16:34:56,62,72,2507,234,130,cluster4
1654,22:12:33,2,0,438,48,50,cluster0
1655,18:04:28,16,1,5420,560,450,cluster2
1656,11:53:08,19,13,2317,340,164,cluster1
1657,18:57:19,2,0,503,112,59,cluster0
1658,18:05:18,43,59,3504,140,138,cluster3
1659,0:10:50,7,2,1628,212,170,cluster1
1660,17:14:57,7,4,4185,179,120,cluster3
1661,11:23:47,13,3,4190,281,203,cluster3
1662,16:26:15,12,7,1279,105,65,cluster0
1663,15:31:44,4,1,987,45,42,cluster0
1664,13:12:09,20,13,5833,1237,1078,cluster2
1665,13:20:45,2,0,1757,134,72,cluster1
1666,15:07:48,4,1,1459,116,84,cluster1
1667,16:34:15,19,6,3963,628,485,cluster3
1668,19:54:55,1,0,2185,167,838,cluster1
1669,23:45:30,2,1,306,18,26,cluster0
1670,16:15:35,18,11,3589,225,189,cluster3
1671,12:59:19,21,18,2284,242,255,cluster1
1672,16:21:30,33,47,956,85,72,cluster0
1673,21:10:47,16,23,5071,148,139,cluster3
1674,12:16:18,48,0,2778,235,111,cluster1
1675,1:37:21,1,1,152,8,13,cluster0
1676,14:15:26,4,1,2207,283,122,cluster1
1677,15:26:29,14,9,4099,408,350,cluster3
1678,21:14:02,5,1,3075,134,108,cluster3
1679,16:25:26,6,1,2053,188,155,cluster1
1680,1:29:36,13,13,218,19,28,cluster0
1681,15:46:15,3,1,2298,238,235,cluster1
1682,11:57:08,20,14,1878,168,100,cluster1
1683,12:54:24,18,0,6879,827,618,cluster2
1684,12:37:39,48,57,2931,169,160,cluster4
1685,13:53:05,2,0,1145,108,59,cluster0
1686,13:53:30,34,41,1784,320,138,cluster1
1687,14:28:51,18,16,5396,303,149,cluster2
1688,19:40:15,2,0,523,96,81,cluster0
1689,22:05:13,0,0,273,32,42,cluster0
1690,22:55:54,5,2,1809,75,29,cluster1
1691,12:40:44,40,24,1444,155,117,cluster1
1692,13:35:45,3,0,1204,73,91,cluster0
1693,11:19:32,44,56,3487,272,182,cluster3
1694,12:36:54,76,60,2588,190,139,cluster4
1695,16:35:40,54,72,1075,269,118,cluster0
1696,12:30:23,8,0,1853,111,82,cluster1
1697,0:52:36,3,1,2424,149,161,cluster1
1698,11:38:02,14,11,3197,564,347,cluster3
1699,11:32:12,5,0,2900,393,270,cluster3
1700,11:22:02,5,3,3694,611,520,cluster3
1701,12:19:08,25,0,3346,198,131,cluster3
1702,14:44:38,58,73,4668,396,328,cluster3
1703,17:11:52,27,11,4766,860,490,cluster2
1704,23:31:50,3,1,572,120,31,cluster0
1705,12:34:34,14,3,3542,360,259,cluster3
1706,21:25:17,3,0,551,131,44,cluster0
1707,0:04:10,12,1,3302,508,410,cluster3
1708,15:51:39,24,7,1528,263,157,cluster1
1709,14:57:23,15,3,2162,159,119,cluster1
1710,13:13:30,14,13,1282,52,51,cluster0
1711,16:23:51,41,56,1263,187,251,cluster0
1712,18:23:19,6,3,320,21,77,cluster0
1713,14:26:21,19,12,3139,238,154,cluster3
1714,15:45:10,12,2,1511,99,146,cluster1
1715,19:10:55,6,0,2312,336,305,cluster1
1716,21:18:02,10,0,2045,322,283,cluster1
1717,15:16:53,37,53,1569,139,77,cluster1
1718,17:45:23,6,4,3096,226,119,cluster3
1719,16:08:00,12,6,1676,479,199,cluster1
1720,14:58:08,13,4,3954,806,172,cluster3
1721,17:32:43,3,2,1931,233,120,cluster1
1722,19:04:15,43,46,3083,467,407,cluster3
1723,21:25:57,84,95,617,100,95,cluster0
1724,13:03:19,55,80,1557,88,106,cluster4
1725,19:30:00,0,0,603,117,91,cluster0
1726,11:28:27,6,1,3959,659,573,cluster3
1727,14:47:23,65,23,4564,199,122,cluster3
1728,13:28:20,3,0,1712,240,223,cluster1
1729,22:29:54,3,0,437,38,29,cluster0
1730,22:50:19,0,0,280,53,21,cluster0
1731,20:19:41,1,0,443,83,49,cluster0
1732,21:11:02,2,0,4228,206,186,cluster3
1733,18:50:49,25,31,989,119,66,cluster0
1734,17:15:07,73,79,2821,287,153,cluster4
1735,19:30:40,2,1,542,89,65,cluster0
1736,17:22:17,11,6,2480,219,148,cluster1
1737,0:49:11,17,4,1910,131,91,cluster1
1738,12:28:58,15,0,3778,219,160,cluster3
1739,21:07:47,3,1,927,88,52,cluster0
1740,21:47:53,2,1,523,76,53,cluster0
1741,11:27:02,38,56,1193,88,85,cluster0
1742,13:10:14,16,14,1384,95,123,cluster0
1743,12:15:28,88,64,4215,279,189,cluster3
1744,11:56:08,14,8,3941,337,187,cluster3
1745,18:19:44,8,1,1895,175,159,cluster1
1746,14:24:51,12,12,2479,297,168,cluster1
1747,20:47:51,9,9,186,19,18,cluster0
1748,21:37:03,47,70,791,110,59,cluster0
1749,16:13:45,6,1,2471,159,139,cluster1
1750,18:45:24,1,0,414,86,40,cluster0
1751,21:45:48,27,37,1887,182,172,cluster1
1752,17:41:43,1,0,1095,196,94,cluster0
1753,17:23:57,25,7,2221,195,84,cluster1
1754,14:25:13,39,37,4800,455,259,cluster3
1755,1:09:56,1,1,198,15,26,cluster0
1756,19:59:31,4,1,769,95,96,cluster0
1757,12:15:23,53,1,2824,180,129,cluster1
1758,11:45:32,7,3,2391,147,114,cluster1
1759,20:11:16,12,12,1487,217,67,cluster1
1760,12:17:03,54,1,4530,516,199,cluster3
1761,0:11:20,1,1,158,13,13,cluster0
1762,22:08:08,8,0,2418,364,325,cluster1
1763,14:38:12,10,3,6838,508,367,cluster2
1764,14:36:52,4,0,5308,213,116,cluster2
1765,16:16:10,5,1,2210,146,128,cluster1
1766,13:18:50,1,0,1437,68,62,cluster1
1767,19:54:20,15,1,5274,647,664,cluster2
1768,21:49:28,0,0,241,25,38,cluster0
1769,12:10:18,3,0,1960,164,105,cluster1
1770,16:07:15,2,1,3577,160,122,cluster3
1771,12:58:44,4,0,5495,355,273,cluster2
1772,21:09:17,2,1,569,88,36,cluster0
1773,18:37:54,1,0,1412,112,121,cluster1
1774,0:02:00,3,1,319,30,17,cluster0
1775,16:22:00,7,5,2049,224,219,cluster1
1776,12:39:34,27,0,2052,163,87,cluster1
1777,14:57:53,15,2,2374,132,121,cluster1
1778,12:42:59,2,0,5377,1152,648,cluster2
1779,14:37:02,6,3,4453,294,224,cluster3
1780,12:46:29,1,0,4685,252,275,cluster3
1781,0:33:51,20,26,177,18,19,cluster0
1782,1:00:46,1,1,315,26,20,cluster0
1783,19:22:45,0,0,282,38,30,cluster0
1784,12:11:33,9,0,2548,166,102,cluster1
1785,12:44:09,18,0,6014,987,691,cluster2
1786,14:56:43,11,5,3076,412,322,cluster3
1787,13:31:00,3,1,3109,210,383,cluster3
1788,12:26:33,58,69,2937,141,128,cluster4
1789,16:41:06,12,3,2088,162,96,cluster1
1790,13:48:50,68,81,4483,538,375,cluster3
1791,15:29:54,8,7,2613,104,153,cluster1
1792,13:40:15,7,5,4240,185,170,cluster3
1793,19:16:10,2,0,2727,167,149,cluster1
1794,16:19:10,11,5,1293,102,90,cluster0
1795,12:38:54,8,0,1359,111,76,cluster0
1796,15:49:30,5,1,2481,219,153,cluster1
1797,17:00:36,57,67,2890,115,123,cluster4
1798,19:05:30,20,13,388,55,41,cluster0
1799,17:40:18,14,12,3259,198,92,cluster3
1800,1:15:01,0,0,254,42,22,cluster0
1801,21:38:03,8,1,1594,220,208,cluster1
1802,17:47:23,18,12,3820,270,155,cluster3
1803,21:35:07,0,0,578,54,52,cluster0
1804,16:53:41,3,2,1451,127,88,cluster1
1805,21:43:38,2,0,393,26,36,cluster0
1806,15:35:44,29,24,1681,145,91,cluster1
1807,16:42:55,18,1,1135,188,135,cluster0
1808,11:44:22,5,0,7763,1587,1532,cluster2
1809,18:58:19,4,0,1323,167,135,cluster0
1810,19:15:05,0,0,2525,119,123,cluster1
1811,16:06:40,10,5,1449,237,110,cluster1
1812,13:50:20,1,0,1550,212,190,cluster1
1813,21:30:32,0,0,463,34,34,cluster0
1814,20:28:36,3,0,917,109,106,cluster0
1815,19:51:35,6,0,1705,332,189,cluster1
1816,18:43:34,0,0,280,12,9,cluster0
1817,12:26:13,16,1,3760,195,109,cluster3
1818,12:33:33,35,50,2068,111,82,cluster1
1819,14:26:38,126,123,5600,350,224,cluster2
1820,0:27:01,0,0,246,46,17,cluster0
1821,1:34:11,9,1,2772,465,380,cluster1
1822,13:22:10,14,10,1344,118,74,cluster0
1823,15:26:23,1,1,1529,78,67,cluster1
1824,23:27:54,45,53,623,24,51,cluster0
1825,17:03:17,6,2,1244,95,91,cluster0
1826,16:24:55,13,6,1881,141,134,cluster1
1827,12:00:33,14,13,1642,194,201,cluster1
1828,16:18:55,15,7,1430,135,117,cluster1
1829,11:37:47,10,3,2239,222,137,cluster1
1830,11:53:48,17,11,1921,187,106,cluster1
1831,14:08:26,3,0,3295,196,165,cluster3
1832,12:47:04,5,0,850,66,97,cluster0
1833,17:06:17,6,1,3382,153,140,cluster3
1834,13:57:45,16,0,2876,692,186,cluster3
1835,20:21:36,1,0,1203,150,77,cluster0
1836,12:02:58,3,1,1414,129,96,cluster1
1837,21:57:38,1,0,1136,108,53,cluster0
1838,15:40:59,1,0,3266,549,109,cluster3
1839,15:11:43,13,1,4137,197,96,cluster3
1840,12:42:24,5,0,1315,160,103,cluster0
1841,14:12:56,1,0,2250,129,103,cluster1
1842,15:55:30,1,1,3898,189,138,cluster3
1843,1:36:06,0,0,156,9,17,cluster0
1844,0:16:00,5,0,1649,554,19,cluster1
1845,11:37:52,14,8,2420,355,239,cluster1
1846,21:52:28,0,0,261,20,14,cluster0
1847,15:09:58,1,0,581,54,52,cluster0
1848,21:20:07,33,47,2047,86,79,cluster1
1849,17:33:33,8,6,2336,206,90,cluster1
1850,21:40:28,11,0,1772,71,63,cluster1
1851,16:21:40,50,62,1290,136,79,cluster0
1852,16:44:25,73,83,4405,540,461,cluster4
1853,16:47:50,4,2,1218,135,78,cluster0
1854,0:54:41,2,1,210,13,23,cluster0
1855,23:15:29,14,3,512,28,27,cluster0
1856,11:46:12,1,0,1547,115,86,cluster1
1857,21:55:18,0,0,2514,129,73,cluster1
1858,13:03:24,2,0,1502,159,151,cluster1
1859,13:26:10,4,2,2168,207,142,cluster1
1860,15:23:34,31,18,3012,183,102,cluster3
1861,1:08:26,2,1,208,28,30,cluster0
1862,11:08:46,10,8,3537,948,190,cluster3
1863,16:17:00,2,1,2072,95,103,cluster1
1864,0:21:05,2,1,284,43,16,cluster0
1865,20:43:11,0,0,172,14,12,cluster0
1866,11:26:32,3,2,1173,120,72,cluster0
1867,18:43:59,1,0,2309,95,73,cluster1
1868,13:41:55,1,1,893,70,73,cluster0
1869,16:47:55,22,31,1564,89,75,cluster1
1870,22:18:18,6,0,1474,217,222,cluster1
1871,13:04:44,12,2,7402,1453,1388,cluster2
1872,20:01:56,10,0,1036,177,75,cluster0
1873,22:06:23,0,0,190,16,20,cluster0
1874,16:21:35,8,5,1111,156,128,cluster0
1875,13:44:40,5,1,2433,194,142,cluster1
1876,20:25:21,17,21,256,23,21,cluster0
1877,12:14:08,44,1,6493,591,460,cluster2
1878,15:10:53,2,1,776,59,45,cluster0
1879,16:04:20,65,60,2116,279,191,cluster1
1880,22:45:34,2,1,291,69,24,cluster0
1881,14:04:51,9,0,5384,534,447,cluster2
1882,15:26:28,1,0,1100,115,72,cluster0
1883,13:00:44,5,2,3841,194,189,cluster3
1884,11:35:02,6,1,1376,74,53,cluster0
1885,21:16:52,0,0,290,33,38,cluster0
1886,16:36:25,14,12,1028,362,128,cluster0
1887,14:57:18,1,0,1425,137,88,cluster1
1888,17:36:03,1,0,2439,262,138,cluster1
1889,12:45:34,8,1,2930,136,116,cluster1
1890,19:34:35,39,48,3006,235,235,cluster3
1891,15:19:03,10,1,5406,252,156,cluster2
1892,18:40:09,3,0,982,153,24,cluster0
1893,18:59:50,1,0,452,46,48,cluster0
1894,16:43:35,7,1,1280,91,50,cluster0
1895,17:17:02,13,2,2145,107,85,cluster1
1896,11:53:58,21,14,2023,154,106,cluster1
1897,19:52:30,19,12,1486,335,193,cluster1
1898,12:00:23,11,8,1884,147,94,cluster1
1899,18:09:59,37,41,1858,84,69,cluster1
1900,15:00:33,53,79,2675,162,110,cluster4
1901,16:24:15,36,0,5542,652,483,cluster2
1902,13:04:04,41,17,4739,739,662,cluster2
1903,18:11:39,3,1,1406,70,84,cluster0
1904,23:49:20,3,1,406,43,30,cluster0
1905,13:40:00,1,1,1913,104,108,cluster1
1906,12:11:03,20,7,1892,124,97,cluster1
1907,20:55:36,0,0,799,42,28,cluster0
1908,1:11:41,1,0,220,12,19,cluster0
1909,16:30:01,20,8,2277,314,133,cluster1
1910,18:54:39,4,0,1681,180,162,cluster1
1911,21:44:53,0,0,2743,95,99,cluster1
1912,19:09:15,2,0,836,154,160,cluster0
1913,22:15:13,12,8,775,71,37,cluster0
1914,19:16:20,0,0,1758,116,166,cluster1
1915,15:14:03,8,1,2237,173,123,cluster1
1916,17:59:58,11,1,4377,151,157,cluster3
1917,13:43:50,8,4,2216,95,70,cluster1
1918,22:06:18,0,0,201,18,21,cluster0
1919,14:22:21,19,7,4247,337,240,cluster3
1920,14:51:32,1,0,4506,264,230,cluster3
1921,21:09:37,21,32,5691,364,212,cluster2
1922,18:37:34,1,0,371,48,31,cluster0
1923,15:12:33,2,0,2389,232,92,cluster1
1924,17:28:43,1,0,1609,104,45,cluster1
1925,14:00:41,10,0,2488,271,224,cluster1
1926,21:25:02,1,0,257,26,40,cluster0
1927,15:30:19,29,36,1356,262,184,cluster1
1928,13:15:05,37,31,1163,132,150,cluster0
1929,11:14:16,55,67,5296,695,423,cluster2
1930,13:59:50,4,2,1819,118,223,cluster1
1931,16:18:00,45,53,3136,576,317,cluster3
1932,18:25:19,2,0,360,69,71,cluster0
1933,15:59:39,24,22,3477,124,143,cluster3
1934,11:33:07,6,4,1754,183,131,cluster1
1935,20:49:46,39,1,3080,712,165,cluster3
1936,23:58:40,2,1,1073,63,71,cluster0
1937,15:32:39,0,0,2362,130,128,cluster1
1938,15:59:34,15,13,1993,132,116,cluster1
1939,18:20:19,10,8,1697,159,124,cluster1
1940,16:23:20,20,4,2936,268,226,cluster3
1941,21:47:48,0,0,653,95,63,cluster0
1942,16:19:15,18,0,1228,174,155,cluster0
1943,16:32:51,4,2,945,92,92,cluster0
1944,15:19:58,1,0,2313,261,227,cluster1
1945,13:30:50,3,1,2215,179,112,cluster1
1946,16:05:00,12,2,3388,463,387,cluster3
1947,14:53:33,9,6,3368,138,101,cluster3
1948,15:58:19,49,62,3946,506,361,cluster3
1949,14:48:52,52,67,5028,397,361,cluster2
1950,22:05:48,5,1,309,37,42,cluster0
1951,15:57:55,10,2,3408,397,306,cluster3
1952,13:05:14,19,1,4233,878,403,cluster3
1953,11:49:47,36,49,1394,117,94,cluster1
1954,19:40:55,5,0,2053,297,504,cluster1
1955,13:02:39,14,4,1575,358,236,cluster1
1956,15:01:18,7,1,2934,358,129,cluster3
1957,15:41:04,1,0,2307,121,75,cluster1
1958,13:00:34,1,0,2747,322,244,cluster1
1959,16:18:40,13,7,1042,112,76,cluster0
1960,14:22:53,171,22,2935,235,275,cluster3
1961,19:52:35,3,1,1039,237,123,cluster0
1962,18:45:39,1,1,630,104,65,cluster0
1963,15:31:14,13,5,1096,98,67,cluster0
1964,15:28:53,1,0,1518,66,70,cluster1
1965,12:10:38,4,0,2281,154,114,cluster1
1966,20:38:21,1,0,275,31,29,cluster0
1967,12:18:58,66,53,4338,354,220,cluster3
1968,11:12:31,25,37,3546,138,88,cluster3
1969,18:02:48,16,7,6743,222,175,cluster2
1970,13:16:45,60,84,2475,210,73,cluster4
1971,16:13:40,2,1,1632,128,102,cluster1
1972,0:54:06,6,0,1930,275,233,cluster1
1973,12:34:39,15,2,2389,264,198,cluster1
1974,23:45:15,2,1,342,45,23,cluster0
1975,22:37:29,1,1,395,160,72,cluster0
1976,17:07:07,3,0,3051,157,115,cluster3
1977,23:38:50,0,0,246,41,15,cluster0
1978,0:02:10,1,1,262,49,13,cluster0
1979,16:07:00,5,4,1098,189,292,cluster0
1980,20:13:21,1,0,522,148,77,cluster0
1981,14:18:16,18,13,4475,699,425,cluster3
1982,12:01:03,11,10,2301,262,118,cluster1
1983,11:39:12,4,4,2215,208,206,cluster1
1984,11:38:12,9,2,4394,471,342,cluster3
1985,12:35:09,9,0,4252,620,576,cluster3
1986,15:30:39,2,0,806,52,43,cluster0
1987,13:29:35,37,54,1507,114,102,cluster1
1988,14:05:51,4,1,3931,274,200,cluster3
1989,21:30:17,0,0,1191,44,39,cluster0
1990,13:15:25,4,0,2965,268,197,cluster3
1991,13:08:14,7,2,1150,111,119,cluster0
1992,14:22:36,28,10,4126,456,315,cluster3
1993,0:13:30,1,1,458,21,17,cluster0
1994,19:05:00,0,0,326,28,29,cluster0
1995,15:04:39,43,25,6291,390,288,cluster2
1996,16:05:55,58,79,1203,118,128,cluster0
1997,14:31:27,17,12,3647,405,211,cluster3
1998,22:03:58,1,0,212,29,21,cluster0
1999,18:31:44,2,0,1567,133,137,cluster1
2000,1:06:11,0,0,226,31,34,cluster0
2001,15:12:39,42,56,4620,229,166,cluster3
2002,12:44:54,4,0,2732,239,161,cluster1
2003,15:21:58,8,4,2971,360,365,cluster3
2004,14:43:42,5,1,1692,132,87,cluster1
2005,16:47:15,6,2,1322,51,51,cluster0
2006,15:08:18,23,4,2637,398,298,cluster1
2007,23:51:30,3,1,494,58,43,cluster0
2008,18:59:10,3,1,540,96,88,cluster0
2009,14:03:46,20,9,5998,660,226,cluster2
2010,16:28:56,9,1,1799,127,87,cluster1
2011,19:17:15,0,0,2386,146,158,cluster1
2012,16:21:00,4,2,950,62,49,cluster0
2013,18:42:09,1,0,1838,54,56,cluster1
2014,1:29:51,23,33,162,8,17,cluster0
2015,20:37:16,0,0,233,39,36,cluster0
2016,23:09:29,2,2,223,14,16,cluster0
2017,22:56:49,2,1,1425,74,58,cluster0
2018,12:02:43,5,1,1672,234,114,cluster1
2019,16:00:55,11,4,4406,177,151,cluster3
2020,14:40:48,17,10,6870,407,217,cluster2
2021,19:57:50,0,0,303,59,50,cluster0
2022,11:30:52,1,0,1490,193,123,cluster1
2023,11:56:53,17,13,1851,156,92,cluster1
2024,12:57:04,3,2,831,162,110,cluster0
2025,15:38:44,12,11,2712,138,88,cluster1
2026,14:43:53,17,4,2446,199,79,cluster1
2027,15:25:44,18,3,3341,357,278,cluster3
2028,13:07:54,8,3,819,84,105,cluster0
2029,22:52:19,27,37,756,20,23,cluster0
2030,13:39:50,5,1,1871,99,96,cluster1
2031,17:07:42,24,3,4316,371,301,cluster3
2032,15:48:00,6,1,3196,299,300,cluster3
2033,12:20:33,47,1,3817,210,151,cluster3
2034,11:28:52,29,24,5007,329,198,cluster2
2035,22:01:58,1,1,1392,137,57,cluster0
2036,14:55:13,2,0,2595,147,142,cluster1
2037,21:51:08,2,0,2191,158,132,cluster1
2038,14:30:06,21,13,6610,260,191,cluster2
2039,20:03:01,1,0,362,115,67,cluster0
2040,13:32:55,1,0,1620,157,128,cluster1
2041,15:01:49,13,4,3199,418,215,cluster3
2042,18:02:43,7,3,4982,171,104,cluster3
2043,14:09:41,19,16,3002,194,123,cluster3
2044,23:20:59,3,1,1065,60,42,cluster0
2045,13:44:20,12,0,4951,579,495,cluster2
2046,23:54:10,26,27,2912,454,369,cluster3
2047,12:12:43,36,21,3119,232,109,cluster3
2048,15:03:43,2,1,2080,124,97,cluster1
2049,15:39:34,10,1,4521,213,164,cluster3
2050,15:50:04,9,8,1089,43,31,cluster0
2051,15:41:24,45,64,712,47,46,cluster0
2052,13:53:15,1,0,1209,77,62,cluster0
2053,18:21:49,3,0,720,53,49,cluster0
2054,11:10:11,27,39,898,87,90,cluster0
2055,15:09:34,3,0,1872,153,101,cluster1
2056,13:34:20,54,34,5657,777,594,cluster2
2057,22:32:59,31,27,366,80,62,cluster0
2058,22:48:04,8,1,2168,339,279,cluster1
2059,20:31:56,4,0,2989,191,144,cluster1
2060,21:14:52,35,53,952,144,107,cluster0
2061,14:47:57,9,1,3468,339,138,cluster3
2062,13:41:45,2,0,936,137,136,cluster0
2063,15:56:04,9,7,4514,197,175,cluster3
2064,21:38:33,2,1,2675,143,94,cluster1
2065,17:40:33,1,0,1634,151,66,cluster1
2066,0:39:36,0,0,170,18,21,cluster0
2067,13:34:05,13,0,4156,431,382,cluster3
2068,0:09:15,0,0,1070,23,26,cluster0
2069,13:16:15,31,2,1480,168,138,cluster1
2070,11:44:27,8,1,8648,1697,1545,cluster2
2071,15:18:44,22,19,2425,207,119,cluster1
2072,21:42:33,0,0,255,32,32,cluster0
2073,16:09:55,3,2,1527,122,145,cluster1
2074,15:25:28,2,1,3803,145,110,cluster3
2075,16:06:50,6,6,1274,283,316,cluster1
2076,15:35:14,4,0,3843,574,530,cluster3
2077,22:25:03,2,0,644,155,52,cluster0
2078,21:19:17,1,0,345,50,38,cluster0
2079,15:14:18,8,0,3782,498,428,cluster3
2080,1:28:41,32,44,152,8,10,cluster0
2081,14:48:58,8,3,3942,702,244,cluster3
2082,15:04:44,41,18,5068,365,189,cluster2
2083,15:46:49,198,195,1791,253,189,cluster4
